price_level,level_type,timeframe,created_at,source,anchor_time,completion_time,direction,period,support_touches,resistance_touches
74508.0,Fractal_Low,daily,2025-04-07,fractal,,,,,1,0
75000.0,VP_vah,daily,,volume_profile,,,,2025-04-09,0,0
76144.0,VP_vah,daily,,volume_profile,,,,2025-04-07,1,0
76322.42,HTF_Level_daily,daily,2025-04-09,htf,,,,,1,0
76606.0,Fractal_Low,daily,2025-03-11,fractal,,,,,1,0
77154.0,VP_vah,daily,,volume_profile,,,,2025-04-06,0,0
77169.0,VP_poc,daily,,volume_profile,,,,2025-04-09,0,0
77233.0,VP_vah,daily,,volume_profile,,,,2025-04-08,0,0
77501.0,VP_vah,daily,,volume_profile,,,,2025-03-10,1,0
77505.105,Fib_0.75_daily,daily,2025-04-15,fibonacci,2025-04-07,2025-04-15,low_to_high,,1,0
78006.0,Fib_0.25_daily,daily,2025-04-07,fibonacci,2025-04-02,2025-04-07,high_to_low,,1,0
78072.3575,Fib_0.25_daily,daily,2025-04-07,fibonacci,2025-03-24,2025-04-07,high_to_low,,1,0
78258.52,Fractal_Low,daily,2025-02-28,fractal,,,,,1,0
78392.0,VP_poc,daily,,volume_profile,,,,2025-04-07,0,0
78430.0,HTF_Level_daily,daily,2025-04-07,htf,,,,,0,1
78595.86,HTF_Level_daily,daily,2025-03-11,htf,,,,,0,2
78781.9275,Fib_0.75_daily,daily,2025-03-14,fibonacci,2025-03-11,2025-03-14,low_to_high,,1,2
78835.81962,Fib_0.639_daily,daily,2025-04-15,fibonacci,2025-04-07,2025-04-15,low_to_high,,1,2
78840.0,VP_poc,daily,,volume_profile,,,,2025-04-06,1,2
78896.0,VP_vah,daily,,volume_profile,,,,2025-02-28,1,2
78969.0,VP_vah,daily,,volume_profile,,,,2025-03-11,1,2
79083.66,Fib_0.25_daily,daily,2025-04-07,fibonacci,2025-03-06,2025-04-07,high_to_low,,1,2
79163.24,HTF_Level_daily,daily,2025-04-08,htf,,,,,1,1
79200.0,VP_poc,daily,,volume_profile,,,,2025-03-10,1,1
79317.9175,Fib_0.75_daily,daily,2025-03-20,fibonacci,2025-03-11,2025-03-20,low_to_high,,1,1
79447.0,VP_val,daily,,volume_profile,,,,2025-04-07,0,0
79560.0,VP_poc,daily,,volume_profile,,,,2025-04-08,1,0
79607.3,HTF_Level_daily,daily,2025-04-11,htf,,,,,1,0
79631.0,Fib_0.25_daily,daily,2025-04-07,fibonacci,2025-03-02,2025-04-07,high_to_low,,1,0
79645.8575,Fib_0.75_daily,daily,2025-03-24,fibonacci,2025-03-11,2025-03-24,low_to_high,,1,0
79709.0,VP_vah,daily,,volume_profile,,,,2025-04-10,1,0
79748.03931000001,Fib_0.639_daily,daily,2025-03-14,fibonacci,2025-03-11,2025-03-14,low_to_high,,1,0
79820.51,Fib_0.75_daily,daily,2025-04-25,fibonacci,2025-04-07,2025-04-25,low_to_high,,1,0
80256.0,VP_poc,daily,,volume_profile,,,,2025-02-28,1,0
80354.92,Fib_0.75_daily,daily,2025-05-02,fibonacci,2025-04-07,2025-05-02,low_to_high,,1,0
80413.0,VP_val,daily,,volume_profile,,,,2025-04-08,1,0
80502.20999999999,Fib_0.50_daily,daily,2025-04-15,fibonacci,2025-04-07,2025-04-15,low_to_high,,1,0
80522.00887,Fib_0.639_daily,daily,2025-03-20,fibonacci,2025-03-11,2025-03-20,low_to_high,,1,0
80657.16,Fib_0.25_daily,daily,2025-03-11,fibonacci,2025-03-06,2025-03-11,high_to_low,,2,0
80749.75,Fib_0.25_daily,daily,2025-04-07,fibonacci,2025-02-21,2025-04-07,high_to_low,,1,0
80895.0,VP_val,daily,,volume_profile,,,,2025-04-06,1,0
80915.4975,Fib_0.25_daily,daily,2025-04-07,fibonacci,2025-02-07,2025-04-07,high_to_low,,1,0
80957.85500000001,Fib_0.50_daily,daily,2025-03-14,fibonacci,2025-03-11,2025-03-14,low_to_high,,1,0
80960.0,VP_vah,daily,,volume_profile,,,,2025-03-13,1,0
80995.55423,Fib_0.639_daily,daily,2025-03-24,fibonacci,2025-03-11,2025-03-24,low_to_high,,1,0
81115.78,HTF_Level_daily,daily,2025-03-14,htf,,,,,1,0
81123.0,VP_vah,daily,,volume_profile,,,,2025-03-09,0,0
81134.66,Fractal_Low,daily,2025-03-18,fractal,,,,,1,0
81204.5,Fib_0.25_daily,daily,2025-03-11,fibonacci,2025-03-02,2025-03-11,high_to_low,,1,1
81211.24,Fractal_Low,daily,2025-04-03,fractal,,,,,1,1
81278.52,Fractal_Low,daily,2025-03-31,fractal,,,,,1,1
81289.0,VP_poc,daily,,volume_profile,,,,2025-03-11,1,1
81450.0,VP_vah,daily,,volume_profile,,,,2025-04-11,1,1
81500.0,Fractal_Low,daily,2025-03-04,fractal,,,,,2,1
81504.0,Fib_0.50_daily,daily,2025-04-07,fibonacci,2025-04-02,2025-04-07,high_to_low,,1,1
