price_level,level_type,timeframe,created_at,source,anchor_time,completion_time,direction,period,support_touches,resistance_touches
2817.0,Fractal_Low,daily,2017-09-15,fractal,,,,,1,0
2888.0,VP_vah,daily,,volume_profile,,,,2017-09-15,0,0
3111.0,VP_poc,daily,,volume_profile,,,,2017-09-15,0,0
3143.55,Fib_0.75_daily,daily,2017-09-18,fibonacci,2017-09-15,2017-09-18,low_to_high,,0,0
3156.26,Fractal_Low,daily,2018-12-15,fractal,,,,,1,0
3170.0,VP_vah,daily,,volume_profile,,,,2018-12-15,1,0
3185.0,VP_poc,daily,,volume_profile,,,,2018-12-15,1,0
3188.01,HTF_Level_daily,daily,2017-09-15,htf,,,,,2,0
3203.0,VP_vah,daily,,volume_profile,,,,2018-12-14,2,0
3211.3975,Fib_0.25_daily,daily,2017-09-15,fibonacci,2017-09-12,2017-09-15,high_to_low,,2,0
3211.71,HTF_Level_daily,daily,2018-12-16,htf,,,,,1,0
3219.0,VP_poc,daily,,volume_profile,,,,2018-12-14,1,0
3222.0,Fractal_Low,daily,2018-12-08,fractal,,,,,2,0
3228.0,VP_val,daily,,volume_profile,,,,2018-12-15,1,0
3238.0,VP_vah,daily,,volume_profile,,,,2018-12-16,0,0
3253.1575000000003,Fib_0.75_daily,daily,2017-10-02,fibonacci,2017-09-15,2017-10-02,low_to_high,,1,0
3267.0,VP_poc,daily,,volume_profile,,,,2018-12-16,1,0
3281.695,Fib_0.25_daily,daily,2018-12-15,fibonacci,2018-12-09,2018-12-15,high_to_low,,1,0
3282.0,VP_val,daily,,volume_profile,,,,2018-12-16,1,0
3288.5382,Fib_0.639_daily,daily,2017-09-18,fibonacci,2017-09-15,2017-09-18,low_to_high,,1,0
3298.0,VP_val,daily,,volume_profile,,,,2018-12-14,0,0
3309.8975,Fib_0.25_daily,daily,2017-09-15,fibonacci,2017-09-07,2017-09-15,high_to_low,,1,0
3310.0,VP_vah,daily,,volume_profile,,,,2017-09-14,0,0
3331.0,Fib_0.75_daily,daily,2018-12-09,fibonacci,2018-12-08,2018-12-09,low_to_high,,1,0
3341.0,VP_vah,daily,,volume_profile,,,,2018-12-13,1,0
3347.5475,Fib_0.25_daily,daily,2017-09-15,fibonacci,2017-09-02,2017-09-15,high_to_low,,1,0
3349.92,Fractal_Low,daily,2019-01-29,fractal,,,,,1,0
3351.0,VP_vah,daily,,volume_profile,,,,2018-12-07,0,0
3352.0,VP_vah,daily,,volume_profile,,,,2018-12-11,0,0
3360.0,VP_vah,daily,,volume_profile,,,,2018-12-08,0,0
3362.0,VP_vah,daily,,volume_profile,,,,2018-12-17,0,0
3371.0,VP_poc,daily,,volume_profile,,,,2018-12-11,1,0
3373.0,VP_vah,daily,,volume_profile,,,,2019-02-08,1,0
3373.1,Fractal_Low,daily,2019-02-08,fractal,,,,,1,0
3379.23,HTF_Level_daily,daily,2018-12-12,htf,,,,,1,0
3379.396,Fib_0.639_daily,daily,2018-12-09,fibonacci,2018-12-08,2018-12-09,low_to_high,,1,0
3387.0,VP_vah,daily,,volume_profile,,,,2019-01-29,1,0
3388.0,VP_poc,daily,,volume_profile,,,,2018-12-08,1,0
3391.0,VP_poc,daily,,volume_profile,,,,2018-12-13,1,0
3394.04,Fib_0.75_daily,daily,2019-02-02,fibonacci,2019-01-29,2019-02-02,low_to_high,,1,0
3396.0,VP_poc,daily,,volume_profile,,,,2018-12-07,0,0
3397.0,VP_vah,daily,,volume_profile,,,,2019-02-06,0,0
3398.0,VP_vah,daily,,volume_profile,,,,2019-02-07,1,0
3398.4,HTF_Level_daily,daily,2019-02-08,htf,,,,,1,0
3400.0,Fractal_Low,daily,2017-08-22,fractal,,,,,2,0
3402.1925,Fib_0.75_daily,daily,2018-12-21,fibonacci,2018-12-15,2018-12-21,low_to_high,,1,0
3403.0,VP_vah,daily,,volume_profile,,,,2018-12-12,1,0
3403.57,HTF_Level_daily,daily,2018-12-08,htf,,,,,1,0
3405.0,VP_vah,daily,,volume_profile,,,,2019-01-28,0,0
3406.0,VP_poc,daily,,volume_profile,,,,2019-02-06,0,0
3407.13,Fib_0.50_daily,daily,2018-12-15,fibonacci,2018-12-09,2018-12-15,high_to_low,,0,1
3410.0,VP_poc,daily,,volume_profile,,,,2018-12-17,0,1
3410.04,HTF_Level_daily,daily,2019-01-30,htf,,,,,0,1
3411.425,Fib_0.25_daily,daily,2019-02-08,fibonacci,2019-02-02,2019-02-08,high_to_low,,0,1
3412.0,VP_poc,daily,,volume_profile,,,,2019-02-07,0,1
3413.0,VP_val,daily,,volume_profile,,,,2018-12-11,0,1
3413.62928,Fib_0.639_daily,daily,2019-02-02,fibonacci,2019-01-29,2019-02-02,low_to_high,,0,1
3414.0,VP_val,daily,,volume_profile,,,,2019-02-07,0,1
3415.0,VP_poc,daily,,volume_profile,,,,2019-01-29,0,1
3416.695,Fib_0.75_daily,daily,2018-12-24,fibonacci,2018-12-15,2018-12-24,low_to_high,,0,1
3420.0,VP_val,daily,,volume_profile,,,,2019-02-06,1,1
3423.0,VP_vah,daily,,volume_profile,,,,2019-01-31,1,1
3424.0,VP_poc,daily,,volume_profile,,,,2019-01-28,1,1
3427.0,VP_vah,daily,,volume_profile,,,,2019-02-01,1,0
3428.175,Fib_0.25_daily,daily,2019-01-29,fibonacci,2019-01-26,2019-01-29,high_to_low,,1,0
3430.0,VP_vah,daily,,volume_profile,,,,2019-01-30,1,0
3431.0,VP_val,daily,,volume_profile,,,,2019-01-29,1,0
3432.0,VP_vah,daily,,volume_profile,,,,2018-12-10,1,0
3432.0,VP_poc,daily,,volume_profile,,,,2019-01-31,1,0
3433.0,VP_poc,daily,,volume_profile,,,,2019-02-08,1,0
3434.1,HTF_Level_daily,daily,2019-02-01,htf,,,,,1,0
3434.85,Fractal_Low,daily,2019-01-22,fractal,,,,,1,0
3437.0,VP_vah,daily,,volume_profile,,,,2019-02-03,1,0
3438.16,Fib_0.50_daily,daily,2019-02-02,fibonacci,2019-01-29,2019-02-02,low_to_high,,1,0
3440.0,Fib_0.50_daily,daily,2018-12-09,fibonacci,2018-12-08,2018-12-09,low_to_high,,1,0
3441.3,Fractal_Low,daily,2019-01-13,fractal,,,,,1,0
3442.44,Fib_0.25_daily,daily,2019-01-29,fibonacci,2019-01-19,2019-01-29,high_to_low,,1,0
3444.0,VP_val,daily,,volume_profile,,,,2018-12-13,1,0
3444.0,VP_vah,daily,,volume_profile,,,,2019-01-13,1,0
3445.835,Fib_0.75_daily,daily,2019-02-08,fibonacci,2019-01-29,2019-02-08,low_to_high,,1,0
3446.38,HTF_Level_daily,daily,2018-12-13,htf,,,,,1,0
3446.81143,Fib_0.639_daily,daily,2017-10-02,fibonacci,2017-09-15,2017-10-02,low_to_high,,1,0
3447.0,VP_vah,daily,,volume_profile,,,,2018-12-09,1,0
3448.0,VP_val,daily,,volume_profile,,,,2019-01-31,1,0
3449.75,Fib_0.50_daily,daily,2019-02-08,fibonacci,2019-02-02,2019-02-08,high_to_low,,1,0
