price_level,level_type,timeframe,created_at,source,anchor_time,completion_time,direction,period
58946.0,Fractal_Low,daily,2024-10-10,fractal,,,,
58949.0,VP_vah,daily,,volume_profile,,,,2024-10-10
59828.11,Fractal_Low,daily,2024-10-03,fractal,,,,
60000.0,VP_poc,daily,,volume_profile,,,,2024-10-10
60090.0,VP_vah,daily,,volume_profile,,,,2024-10-03
60326.4,HTF_Level_daily,daily,2024-10-11,htf,,,,
60329.0475,Fib_0.25_daily,daily,2024-10-10,fibonacci,2024-10-07,2024-10-10,high_to_low,
60362.0,VP_vah,daily,,volume_profile,,,,2024-10-11
60649.27,HTF_Level_daily,daily,2024-10-03,htf,,,,
60684.0,VP_poc,daily,,volume_profile,,,,2024-10-11
60760.0,VP_vah,daily,,volume_profile,,,,2024-10-02
60770.0,VP_poc,daily,,volume_profile,,,,2024-10-03
60828.0,VP_val,daily,,volume_profile,,,,2024-10-10
60920.0,VP_vah,daily,,volume_profile,,,,2024-10-04
60928.0,VP_val,daily,,volume_profile,,,,2024-10-03
60990.630000000005,Fib_0.75_daily,daily,2024-10-07,fibonacci,2024-10-03,2024-10-07,low_to_high,
61362.0,VP_poc,daily,,volume_profile,,,,2024-10-04
61396.0,VP_vah,daily,,volume_profile,,,,2024-10-09
61490.0,VP_poc,daily,,volume_profile,,,,2024-10-02
61506.78888,Fib_0.639_daily,daily,2024-10-07,fibonacci,2024-10-03,2024-10-07,low_to_high,
61589.380000000005,Fib_0.75_daily,daily,2024-10-21,fibonacci,2024-10-10,2024-10-21,low_to_high,
61712.095,Fib_0.50_daily,daily,2024-10-10,fibonacci,2024-10-07,2024-10-10,high_to_low,
61799.0,VP_vah,daily,,volume_profile,,,,2024-10-06
61875.0,VP_val,daily,,volume_profile,,,,2024-10-02
61878.0,VP_vah,daily,,volume_profile,,,,2024-10-01
61928.0,VP_val,daily,,volume_profile,,,,2024-10-04
61960.0,VP_vah,daily,,volume_profile,,,,2024-10-05
62058.01,HTF_Level_daily,daily,2024-10-06,htf,,,,
62086.0,HTF_Level_daily,daily,2024-10-05,htf,,,,
