open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,bearish_fractal,bullish_fractal
2024-10-01 00:00:00,63327.6,63606.0,63006.7,63531.99,1336.93335,2024-10-01 00:59:59.999,84651337.76156620,263946,686.54962000,43477644.32757330,0,False,False
2024-10-01 01:00:00,63532.0,63639.86,63370.01,63458.0,1004.08763,2024-10-01 01:59:59.999,63776840.07545680,143076,435.15139000,27642386.58699300,0,False,False
2024-10-01 02:00:00,63458.0,63458.0,63180.0,63443.76,716.11822,2024-10-01 02:59:59.999,45358533.64938800,95164,283.92004000,17981361.52817580,0,False,False
2024-10-01 03:00:00,63443.76,63744.0,63430.0,63723.48,822.21265,2024-10-01 03:59:59.999,52306232.87384700,110553,500.79186000,31858635.49498840,0,False,False
2024-10-01 04:00:00,63723.47,63879.81,63652.06,63868.94,778.75286,2024-10-01 04:59:59.999,49677214.02514750,110722,452.48517000,28866675.80753080,0,False,False
2024-10-01 05:00:00,63868.93,63899.99,63674.49,63749.99,816.29206,2024-10-01 05:59:59.999,52059204.53663050,74341,525.04787000,33487309.15579540,0,False,False
2024-10-01 06:00:00,63750.0,64097.03,63750.0,64033.98,778.17242,2024-10-01 06:59:59.999,49760993.76627560,93878,513.73458000,32850837.09781600,0,False,False
2024-10-01 07:00:00,64033.99,64130.63,63920.0,64045.92,1142.17634,2024-10-01 07:59:59.999,73153436.49427030,95239,727.76067000,46616770.77485570,0,True,False
2024-10-01 08:00:00,64045.92,64096.0,63839.0,63956.0,974.1637,2024-10-01 08:59:59.999,62309653.62451940,73072,624.22978000,39928971.10834750,0,False,False
2024-10-01 09:00:00,63955.99,64118.0,63864.46,63864.46,1152.0675,2024-10-01 09:59:59.999,73772866.80844800,81512,707.12962000,45287760.53392930,0,False,False
2024-10-01 10:00:00,63864.47,63942.0,63707.89,63910.12,603.43982,2024-10-01 10:59:59.999,38525246.87937190,74012,257.66282000,16450811.53491230,0,False,False
2024-10-01 11:00:00,63910.11,63989.58,63723.4,63734.0,500.6752,2024-10-01 11:59:59.999,31962770.42384170,63008,274.79736000,17543538.58770690,0,False,False
2024-10-01 12:00:00,63734.01,63809.97,63559.63,63668.21,535.43878,2024-10-01 12:59:59.999,34108962.04123980,97630,259.01374000,16501104.22911830,0,False,False
2024-10-01 13:00:00,63668.21,63688.0,62522.0,62866.8,3512.9979,2024-10-01 13:59:59.999,221093137.90881160,426087,1508.76592000,94926611.68058630,0,False,False
2024-10-01 14:00:00,62866.8,63084.0,62448.01,62598.0,3649.61853,2024-10-01 14:59:59.999,228856159.39911770,630349,1789.30558000,112213302.62673830,0,False,False
2024-10-01 15:00:00,62598.0,62821.76,61814.01,62628.85,4931.80431,2024-10-01 15:59:59.999,306931913.15118770,640563,2211.41079000,137629476.48876740,0,False,False
2024-10-01 16:00:00,62628.85,62778.73,61906.04,62448.0,3426.5041,2024-10-01 16:59:59.999,213351660.73926930,509130,1556.49319000,96924909.63230240,0,False,False
2024-10-01 17:00:00,62448.0,62448.0,61092.0,62151.99,5545.71241,2024-10-01 17:59:59.999,341928623.80844160,642522,2401.82724000,148170735.03115710,0,False,True
